transaction_id,transaction_date,transaction_time,store_id,store_location,product_id,transaction_qty,unit_price,Total Bill,product_category,product_type,product_detail,Size,Month Name,Day Name,Hour,Day of Week,Month
114301,01-06-2023,11.33.29 AM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Thursday,11,4,6
115405,02-06-2023,11.18.24 AM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Friday,11,5,6
115478,02-06-2023,12.02.45 PM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Friday,12,5,6
116288,02-06-2023,7.39.47 PM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Friday,19,5,6
116714,03-06-2023,12.24.57 PM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Saturday,12,6,6
116739,03-06-2023,12.44.17 PM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Saturday,12,6,6
116853,03-06-2023,1.58.14 PM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Saturday,13,6,6
117389,03-06-2023,6.57.29 PM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Saturday,18,6,6
118056,04-06-2023,2.31.43 PM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Sunday,14,0,6
118281,04-06-2023,4.30.33 PM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Sunday,16,0,6
118428,04-06-2023,5.53.30 PM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Sunday,17,0,6
118913,05-06-2023,12.01.03 PM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Monday,12,1,6
119196,05-06-2023,2.19.59 PM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Monday,14,1,6
119240,05-06-2023,2.42.16 PM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Monday,14,1,6
119351,05-06-2023,3.51.35 PM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Monday,15,1,6
119444,05-06-2023,4.52.40 PM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Monday,16,1,6
119692,05-06-2023,7.51.09 PM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Monday,19,1,6
121279,07-06-2023,10.16.40 AM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Wednesday,10,3,6
121416,07-06-2023,10.59.19 AM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Wednesday,10,3,6
121493,07-06-2023,12.01.18 PM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Wednesday,12,3,6
121656,07-06-2023,3.05.47 PM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Wednesday,15,3,6
121709,07-06-2023,4.17.25 PM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Wednesday,16,3,6
121876,07-06-2023,7.56.37 PM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Wednesday,19,3,6
122518,08-06-2023,11.09.47 AM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Thursday,11,4,6
122622,08-06-2023,12.09.57 PM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Thursday,12,4,6
122818,08-06-2023,3.00.40 PM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Thursday,15,4,6
122954,08-06-2023,4.58.47 PM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Thursday,16,4,6
123152,08-06-2023,7.54.56 PM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Thursday,19,4,6
123465,09-06-2023,8.39.35 AM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Friday,8,5,6
123499,09-06-2023,8.55.36 AM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Friday,8,5,6
123540,09-06-2023,9.10.06 AM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Friday,9,5,6
123603,09-06-2023,9.32.40 AM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Friday,9,5,6
123972,09-06-2023,12.04.39 PM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Friday,12,5,6
125324,10-06-2023,2.03.46 PM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Saturday,14,6,6
126049,11-06-2023,9.10.48 AM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Sunday,9,0,6
126086,11-06-2023,9.26.48 AM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Sunday,9,0,6
126107,11-06-2023,9.32.07 AM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Sunday,9,0,6
126787,11-06-2023,7.17.53 PM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Sunday,19,0,6
128042,13-06-2023,7.33.17 AM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Tuesday,7,2,6
128558,13-06-2023,10.02.57 AM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Tuesday,10,2,6
128752,13-06-2023,10.56.47 AM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Tuesday,10,2,6
128923,13-06-2023,2.16.08 PM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Tuesday,14,2,6
129043,13-06-2023,4.14.54 PM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Tuesday,16,2,6
129136,13-06-2023,5.45.45 PM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Tuesday,17,2,6
129369,14-06-2023,8.17.01 AM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Wednesday,8,3,6
129437,14-06-2023,8.30.02 AM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Wednesday,8,3,6
129888,14-06-2023,10.20.10 AM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Wednesday,10,3,6
130181,14-06-2023,2.16.04 PM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Wednesday,14,3,6
130620,15-06-2023,7.39.31 AM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Thursday,7,4,6
130923,15-06-2023,9.32.07 AM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Thursday,9,4,6
131166,15-06-2023,10.45.52 AM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Thursday,10,4,6
131442,15-06-2023,3.00.09 PM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Thursday,15,4,6
132915,16-06-2023,5.39.04 PM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Friday,17,5,6
132944,16-06-2023,6.16.21 PM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Friday,18,5,6
133226,17-06-2023,7.44.27 AM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Saturday,7,6,6
133498,17-06-2023,9.47.36 AM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Saturday,9,6,6
133501,17-06-2023,9.49.01 AM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Saturday,9,6,6
134681,18-06-2023,9.54.47 AM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Sunday,9,0,6
134944,18-06-2023,11.39.57 AM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Sunday,11,0,6
136005,19-06-2023,9.44.36 AM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Monday,9,1,6
136490,19-06-2023,3.00.09 PM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Monday,15,1,6
136546,19-06-2023,3.54.25 PM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Monday,15,1,6
136570,19-06-2023,4.24.10 PM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Monday,16,1,6
136982,20-06-2023,8.34.24 AM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Tuesday,8,2,6
137062,20-06-2023,8.56.02 AM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Tuesday,8,2,6
137164,20-06-2023,9.20.53 AM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Tuesday,9,2,6
137348,20-06-2023,10.16.11 AM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Tuesday,10,2,6
137377,20-06-2023,10.25.13 AM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Tuesday,10,2,6
137478,20-06-2023,10.53.45 AM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Tuesday,10,2,6
137507,20-06-2023,11.25.36 AM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Tuesday,11,2,6
137630,20-06-2023,2.18.59 PM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Tuesday,14,2,6
137676,20-06-2023,2.54.24 PM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Tuesday,14,2,6
137808,20-06-2023,5.06.53 PM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Tuesday,17,2,6
137887,20-06-2023,7.10.06 PM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Tuesday,19,2,6
137890,20-06-2023,7.13.31 PM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Tuesday,19,2,6
138130,21-06-2023,8.30.02 AM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Wednesday,8,3,6
138516,21-06-2023,10.20.10 AM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Wednesday,10,3,6
139326,22-06-2023,8.19.40 AM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Thursday,8,4,6
139646,22-06-2023,11.01.47 AM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Thursday,11,4,6
139657,22-06-2023,11.11.44 AM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Thursday,11,4,6
139882,22-06-2023,2.11.19 PM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Thursday,14,4,6
140432,23-06-2023,7.49.50 AM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Friday,7,5,6
140670,23-06-2023,9.43.22 AM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Friday,9,5,6
140896,23-06-2023,11.48.23 AM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Friday,11,5,6
140903,23-06-2023,11.53.23 AM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Friday,11,5,6
140941,23-06-2023,12.33.47 PM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Friday,12,5,6
140943,23-06-2023,12.35.32 PM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Friday,12,5,6
141121,23-06-2023,3.09.25 PM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Friday,15,5,6
141218,23-06-2023,4.40.06 PM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Friday,16,5,6
141223,23-06-2023,4.45.46 PM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Friday,16,5,6
141234,23-06-2023,4.57.42 PM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Friday,16,5,6
141253,23-06-2023,5.11.50 PM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Friday,17,5,6
141805,24-06-2023,9.42.37 AM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Saturday,9,6,6
142115,24-06-2023,12.39.12 PM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Saturday,12,6,6
142390,24-06-2023,4.04.51 PM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Saturday,16,6,6
142439,24-06-2023,4.47.14 PM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Saturday,16,6,6
142627,24-06-2023,7.53.00 PM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Saturday,19,6,6
142838,25-06-2023,8.05.31 AM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Sunday,8,0,6
143066,25-06-2023,9.47.54 AM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Sunday,9,0,6
143650,25-06-2023,5.06.33 PM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Sunday,17,0,6
143877,26-06-2023,7.00.31 AM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Monday,7,1,6
144397,26-06-2023,10.52.25 AM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Monday,10,1,6
144441,26-06-2023,11.26.52 AM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Monday,11,1,6
144702,26-06-2023,3.09.55 PM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Monday,15,1,6
144729,26-06-2023,3.35.11 PM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Monday,15,1,6
144749,26-06-2023,4.00.05 PM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Monday,16,1,6
144919,26-06-2023,6.18.17 PM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Monday,18,1,6
145152,27-06-2023,8.20.25 AM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Tuesday,8,2,6
145422,27-06-2023,9.52.13 AM,3,Astoria,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,June,Tuesday,9,2,6
